"resid_len","dist","length","t","pop","bag_site"
9.5745178766857,0.639991809587732,47,1,"S1-LOLA","Lewisetta"
-5.42548212328395,0.639991809587732,32,1,"S1-LOLA","Lewisetta"
-10.4254821232845,0.639991809587732,27,1,"S1-LOLA","Lewisetta"
-11.4254821232846,0.639991809587732,26,1,"S1-LOLA","Lewisetta"
16.5745178767154,0.639991809587732,54,1,"S1-LOLA","Lewisetta"
2.57451787671537,0.639991809587732,40,1,"S1-LOLA","Lewisetta"
5.57451787671537,0.639991809587732,43,1,"S1-LOLA","Lewisetta"
-7.42548212328463,0.639991809587732,30,1,"S1-LOLA","Lewisetta"
-7.42548212328463,0.639991809587732,30,1,"S1-LOLA","Lewisetta"
-0.425482123284627,0.639991809587732,37,1,"S1-LOLA","Lewisetta"
4.57451787671537,0.639991809587732,42,1,"S1-LOLA","Lewisetta"
-8.42548212328463,0.639991809587732,29,1,"S1-LOLA","Lewisetta"
-5.42548212328463,0.639991809587732,32,1,"S1-LOLA","Lewisetta"
-9.42548212328463,0.639991809587732,28,1,"S1-LOLA","Lewisetta"
0.574517876715373,0.639991809587732,38,1,"S1-LOLA","Lewisetta"
-2.42548212328463,0.639991809587732,35,1,"S1-LOLA","Lewisetta"
4.57451787671537,0.639991809587732,42,1,"S1-LOLA","Lewisetta"
3.57451787671537,0.639991809587732,41,1,"S1-LOLA","Lewisetta"
-3.42548212328463,0.639991809587732,34,1,"S1-LOLA","Lewisetta"
-5.42548212328463,0.639991809587732,32,1,"S1-LOLA","Lewisetta"
-13.4254821232846,0.639991809587732,24,1,"S1-LOLA","Lewisetta"
12.5745178767154,0.639991809587732,50,1,"S1-LOLA","Lewisetta"
11.5745178767154,0.639991809587732,49,1,"S1-LOLA","Lewisetta"
5.57451787671537,0.639991809587732,43,1,"S1-LOLA","Lewisetta"
1.57451787671537,0.639991809587732,39,1,"S1-LOLA","Lewisetta"
6.57451787671537,0.639991809587732,44,1,"S1-LOLA","Lewisetta"
15.5745178767154,0.639991809587732,53,1,"S1-LOLA","Lewisetta"
14.5745178767154,0.639991809587732,52,1,"S1-LOLA","Lewisetta"
-0.425482123284627,0.639991809587732,37,1,"S1-LOLA","Lewisetta"
4.57451787671537,0.639991809587732,42,1,"S1-LOLA","Lewisetta"
10.5745178767154,0.639991809587732,48,1,"S1-LOLA","Lewisetta"
-0.425482123284627,0.639991809587732,37,1,"S1-LOLA","Lewisetta"
-2.42548212328463,0.639991809587732,35,1,"S1-LOLA","Lewisetta"
8.57451787671537,0.639991809587732,46,1,"S1-LOLA","Lewisetta"
7.57451787671537,0.639991809587732,45,1,"S1-LOLA","Lewisetta"
-1.42548212328463,0.639991809587732,36,1,"S1-LOLA","Lewisetta"
14.5745178767154,0.639991809587732,52,1,"S1-LOLA","Lewisetta"
-0.425482123284627,0.639991809587732,37,1,"S1-LOLA","Lewisetta"
9.57451787671537,0.639991809587732,47,1,"S1-LOLA","Lewisetta"
9.57451787671537,0.639991809587732,47,1,"S1-LOLA","Lewisetta"
2.57451787671537,0.639991809587732,40,1,"S1-LOLA","Lewisetta"
-7.42548212328463,0.639991809587732,30,1,"S1-LOLA","Lewisetta"
7.57451787671537,0.639991809587732,45,1,"S1-LOLA","Lewisetta"
1.57451787671537,0.639991809587732,39,1,"S1-LOLA","Lewisetta"
12.5745178767154,0.639991809587732,50,1,"S1-LOLA","Lewisetta"
15.5745178767154,0.639991809587732,53,1,"S1-LOLA","Lewisetta"
-3.42548212328463,0.639991809587732,34,1,"S1-LOLA","Lewisetta"
-0.425482123284627,0.639991809587732,37,1,"S1-LOLA","Lewisetta"
20.5745178767154,0.639991809587732,58,1,"S1-LOLA","Lewisetta"
7.57451787671537,0.639991809587732,45,1,"S1-LOLA","Lewisetta"
4.57451787671537,0.639991809587732,42,1,"S1-LOLA","Lewisetta"
